season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2021.0,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,Shakib Al Hasan,Shakib Al Hasan,4,0,28,0,7.00,9,2,1,1,0,False,https://www.espncricinfo.com/ci/content/player/56143.html
2021.0,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,LH Ferguson,Lockie Ferguson,4,0,26,1,6.50,11,1,2,0,0,False,https://www.espncricinfo.com/ci/content/player/493773.html
2021.0,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,SP Narine,Sunil Narine,4,0,27,0,6.75,9,0,2,1,0,False,https://www.espncricinfo.com/ci/content/player/230558.html
2021.0,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,CV Varun,Varun Chakravarthy,4,0,26,2,6.50,7,2,0,0,1,False,https://www.espncricinfo.com/ci/content/player/1108375.html
2021.0,1254116,DC v KKR,DC,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,Shivam Mavi,Shivam Mavi,4,0,27,1,6.75,9,1,1,1,0,False,https://www.espncricinfo.com/ci/content/player/1079848.html
2021.0,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,A Nortje,Anrich Nortje,4,0,31,2,7.75,10,2,1,1,0,False,https://www.espncricinfo.com/ci/content/player/481979.html
2021.0,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,R Ashwin,Ravichandran Ashwin,3.5,0,27,2,7.04,7,1,1,1,0,False,https://www.espncricinfo.com/ci/content/player/26421.html
2021.0,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,Avesh Khan,Avesh Khan,4,0,22,1,5.50,9,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/694211.html
2021.0,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,AR Patel,Axar Patel,4,0,32,0,8.00,8,0,3,1,0,False,https://www.espncricinfo.com/ci/content/player/554691.html
2021.0,1254116,DC v KKR,DC,KKR,DC,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,K Rabada,Kagiso Rabada,4,0,23,2,5.75,13,1,1,2,0,False,https://www.espncricinfo.com/ci/content/player/550215.html
2021.0,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,Shakib Al Hasan,Shakib Al Hasan,4,0,24,0,6.00,6,2,0,0,0,False,https://www.espncricinfo.com/ci/content/player/56143.html
2021.0,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,Shivam Mavi,Shivam Mavi,4,0,36,0,9.00,8,4,0,2,2,False,https://www.espncricinfo.com/ci/content/player/1079848.html
2021.0,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,CV Varun,Varun Chakravarthy,4,0,20,0,5.00,7,0,0,0,0,False,https://www.espncricinfo.com/ci/content/player/1108375.html
2021.0,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,LH Ferguson,Lockie Ferguson,4,0,30,2,7.50,8,4,0,1,0,False,https://www.espncricinfo.com/ci/content/player/493773.html
2021.0,1254115,RCB v KKR,RCB,KKR,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,1,SP Narine,Sunil Narine,4,0,21,4,5.25,11,2,0,1,0,False,https://www.espncricinfo.com/ci/content/player/230558.html
2021.0,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,Mohammed Siraj,Mohammed Siraj,4,0,19,2,4.75,10,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/940973.html
2021.0,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,GHS Garton,George Garton,3,0,29,0,9.66,4,3,1,0,0,False,https://www.espncricinfo.com/ci/content/player/643433.html
2021.0,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,HV Patel,Harshal Patel,4,0,19,2,4.75,10,1,0,1,0,False,https://www.espncricinfo.com/ci/content/player/390481.html
2021.0,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,YS Chahal,Yuzvendra Chahal,4,0,16,2,4.00,8,0,0,0,0,False,https://www.espncricinfo.com/ci/content/player/430246.html
2021.0,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,GJ Maxwell,Glenn Maxwell,3,0,25,0,8.33,4,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/325026.html
2021.0,1254115,RCB v KKR,RCB,KKR,RCB,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,2,DT Christian,Dan Christian,1.4,0,29,0,17.40,1,1,3,2,0,False,https://www.espncricinfo.com/ci/content/player/4864.html
2021.0,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,DL Chahar,Deepak Chahar,3,0,26,0,8.66,5,4,0,1,0,False,https://www.espncricinfo.com/ci/content/player/447261.html
2021.0,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,JR Hazlewood,Josh Hazlewood,4,0,29,2,7.25,13,4,1,0,0,False,https://www.espncricinfo.com/ci/content/player/288284.html
2021.0,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,SN Thakur,Shardul Thakur,3,0,36,0,12.00,5,1,3,2,0,False,https://www.espncricinfo.com/ci/content/player/475281.html
2021.0,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,RA Jadeja,Ravindra Jadeja,3,0,23,1,7.66,4,3,0,0,0,False,https://www.espncricinfo.com/ci/content/player/234675.html
2021.0,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,MM Ali,Moeen Ali,4,0,27,1,6.75,5,0,1,1,0,False,https://www.espncricinfo.com/ci/content/player/8917.html
2021.0,1254114,DC v CSK,DC,CSK,CSK,Dubai International Cricket Stadium,Dubai,United Arab Emirates,1,DJ Bravo,Dwayne Bravo,3,0,31,1,10.33,4,3,1,2,0,False,https://www.espncricinfo.com/ci/content/player/51439.html
2021.0,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,A Nortje,Anrich Nortje,4,0,31,1,7.75,7,4,0,0,0,False,https://www.espncricinfo.com/ci/content/player/481979.html
2021.0,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,Avesh Khan,Avesh Khan,4,0,47,1,11.75,8,5,3,1,0,False,https://www.espncricinfo.com/ci/content/player/694211.html
2021.0,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,K Rabada,Kagiso Rabada,3,0,23,0,7.66,5,1,1,0,0,False,https://www.espncricinfo.com/ci/content/player/550215.html
2021.0,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,AR Patel,Axar Patel,3,0,23,0,7.66,7,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/554691.html
2021.0,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,TK Curran,Tom Curran,3.4,0,29,3,7.90,6,3,0,2,0,False,https://www.espncricinfo.com/ci/content/player/550235.html
2021.0,1254114,DC v CSK,DC,CSK,DC,Dubai International Cricket Stadium,Dubai,United Arab Emirates,2,R Ashwin,Ravichandran Ashwin,2,0,19,0,9.50,0,2,0,0,0,False,https://www.espncricinfo.com/ci/content/player/26421.html
