season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,DC,1,PP Shaw,Prithvi Shaw,18,12,17,2,1,150.00,False,False,"{'wickets': 1, 'runs': 32}",4.1,lbw b Varun,Shaw done in by one that skids back in to beat the inside edge. Shaw was looking to push it into the off side but played down the wrong line because he didn't pick the googly. Dhawan asked to get on his bike.,
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,DC,1,S Dhawan,Shikhar Dhawan,36,39,65,1,2,92.30,False,False,"{'wickets': 3, 'runs': 83}",14.1,c Shakib Al Hasan b Varun,"<strong>very good take by Shakib diving forward at backward point!</strong> Varun almost bowls that from back of the hand, and goes fullish and a touch wide of off. Dhawan is down the track early with the intention of slamming that away to the on side after also backing away a little, but his bottom hand is off, as the ball balloons after taking his outside edge",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,DC,1,MP Stoinis,Marcus Stoinis,18,23,36,1,0,78.26,False,False,"{'wickets': 2, 'runs': 71}",11.3, b Shivam Mavi,"<strong>the leg stump is uprooted!</strong> Stoinis makes room to this back of a length ball on middle, which is angling after being bowled with a cross seam. But he gets a bottom edge as he looks to slash at that forcefully, and the ball crashes into leg stump. So Stoinis' comeback with the bat doesn't last long",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,DC,1,SS Iyer,Shreyas Iyer,30,27,48,1,1,111.11,False,True,{},,not out,,
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,DC,1,RR Pant,Rishabh Pant,6,6,6,1,0,100.00,True,False,"{'wickets': 4, 'runs': 90}",15.2,c Tripathi b Ferguson,"<strong>bagged by mid-off, and Pant departs!</strong> Again Pant backs away, as Ferguson bowls back of a length outside off. Pant loses his bottom hand as he attempts to pull at that, but the ball seemed to have bounced more than he expected. The ball takes off from his top edge, and finds Tripathi, who has to take a few steps to his right to complete that catch",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,DC,1,SO Hetmyer,Shimron Hetmyer,17,10,20,0,2,170.00,False,False,"{'wickets': 5, 'runs': 117}",18.3,run out (Iyer/&dagger;Karthik),"<strong>and Hetmyer is run-out!</strong> There was no run there, never! Iyer cuts this short delivery wide of off to Iyer at point, who throws bang to the keeper, who is close to the stumps to hammer the bails, with Hetmyer easily pretty short of his crease",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,DC,1,AR Patel,Axar Patel,4,4,8,0,0,100.00,False,True,{},,not out,,
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,Shubman Gill,Shubman Gill,46,46,-,1,1,100.00,False,False,"{'wickets': 3, 'runs': 125}",16.4,c &dagger;Pant b Avesh Khan,"<strong>pocketed by Pant!</strong> Gill gets an outside edge to this full ball slightly wide of off, as he plays with a horizontal bat. The ball takes the top edge and takes off, as Pant leaps a little high and to his right, leaving the gloves open for the ball to arrive comfortably",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,VR Iyer,Venkatesh Iyer,55,41,-,4,3,134.14,False,False,"{'wickets': 1, 'runs': 96}",12.2,c sub (SPD Smith) b Rabada,"<strong>nabbed at deep square leg!</strong> The sound off the bat first gave the impression that it was probably going all the way, but looked like it was timed far too well. He makes room and clears his front leg, as Rabada bowls shortish on middle and leg stump. Iyer pulled, but the ball landed right where the substitute fielder Smith was stationed",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,N Rana,Nitish Rana,13,12,-,0,1,108.33,False,False,"{'wickets': 2, 'runs': 123}",15.6,c Hetmyer b Nortje,"<strong>short-arm pull, and taken at long leg!</strong> The ball takes off after pitching short outside off, as Rana pulls from deep in his crease and with his back leg outside off. He is not quite able to ride the bounce, as the ball comes off the higher side of the bat to fly to Hetmyer",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,RA Tripathi,Rahul Tripathi,12,11,-,0,1,109.09,False,True,{},,not out,,
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,KD Karthik,Dinesh Karthik,0,3,-,0,0,0.00,False,False,"{'wickets': 4, 'runs': 126}",17.6, b Rabada,"<strong>the middle and off stumps are dislodged!</strong> Rabada bowls back of a length just outside off, and with seam up. Karthik looks to hoick that away to the on side, but gets an inside edge. There is life left in this game yet, as Capitals take it deep",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,EJG Morgan,Eoin Morgan,0,3,-,0,0,0.00,True,False,"{'wickets': 5, 'runs': 129}",18.6, b Nortje,"<strong>chopped on!</strong> What is going on here? Another Knight Riders batter succumbs. This is a good length ball wide of off, which Morgan looks to hoick away, but gets a bottom edge on to his stumps, which are lit up after the ball lands there on the bounce. Nortje is all pumped up after that, as he leaves his side with a glimmer of hope in the final over",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,Shakib Al Hasan,Shakib Al Hasan,0,2,-,0,0,0.00,False,False,"{'wickets': 6, 'runs': 130}",19.3,lbw b Ashwin,"walks across off trying to scoop, but the ball strikes his back pad! <b>Ashwin is up in a celebr-appeal, and it is given!</b> Oh my, where is this going? The ball was full on middle and off, and replays show the ball would have crashed into middle and off. Bang!",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,SP Narine,Sunil Narine,0,1,-,0,0,0.00,False,False,"{'wickets': 7, 'runs': 130}",19.4,c Patel b Ashwin,"<strong>and taken at long-off!</strong> Damn! Ashwin gets two in two. <b>He is on a hat-trick</B>. But more than that, Capitals still remain afloat. He bowls with a wide-arm action, and goes full on off. Narine came down the track to try and clear the rope, but toe-ended the shot to lob that right where Axar sat",
2021.0,1254116,DC v KKR,DC,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,KKR,2,LH Ferguson,Lockie Ferguson,0,0,-,0,0,-,False,True,{},,not out,,
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,D Padikkal,Devdutt Padikkal,21,18,26,2,0,116.66,False,False,"{'wickets': 1, 'runs': 49}",5.1, b Ferguson,"<B>chopped on!</b> Full and wide outside off from around the stumps. Padikkal sees the length and goes for the drive. But the ball has been inside-edged onto the stumps. A big fist pump from Lockie, and Padikkal walks back looking down",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,V Kohli,Virat Kohli,39,33,59,5,0,118.18,True,False,"{'wickets': 3, 'runs': 88}",12.2, b Narine,"<B>how beautiful is that ball.</b> Full on middle. Kohli gets low to pay the slog sweep. But Narine delivers this slower through the air. Kohli goes for the slog sweep, but it goes under the bat and crashes into leg stump. Kohli gone after a strike-rate of under 120.",
2021.0,1254115,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,RCB,1,KS Bharat,Srikar Bharat,9,16,20,0,0,56.25,False,False,"{'wickets': 2, 'runs': 69}",9.4,c Iyer b Narine,"full, wider outside off. Bharat finally goes for the big shot, but he doesn't have the power to get it over long off. Iyer runs around to get it, and Bharat falls after a 16-ball 9! The carrom ball turning away, and Narine gives out a tiny smile after the dismissal",
